order_id,order_date,hold_start,hold_end,hold_duration_hours,hold_status,hold_reason,root_cause,resolution_action,business_unit,region,sub_region,customer_name,product_line,currency,order_value,sales_rep,priority
SO-2025-HK-00001,2025-10-21,2025-10-21 00:56:00,,18.4,Open,Missing Price List,Price list version expired,,Automotive,APAC,Taiwan,Gigabyte Technology Taiwan,DRIVE,TWD,2694167,James Chen,Standard
SO-2025-HK-00002,2025-11-28,2025-11-28 01:10:00,,50.3,Open,Discount Approval Pending,Approver out of office,,Data Center,APAC,Korea,LG Electronics Korea,Tesla/A100,KRW,669273,Kevin Park,Urgent
SO-2025-US-00003,2025-11-29,2025-11-29 01:48:00,2025-11-29 14:31:00,12.7,Resolved,Missing Price List,BU price list not uploaded,Escalated to product management,Data Center,Americas,US East,Microsoft Azure,Tesla/A100,USD,447784,Robert Johnson,Standard
SO-2025-US-00004,2025-10-15,2025-10-15 07:42:00,,67.7,Escalated,Missing Price List,Price list version expired,,Automotive,Americas,Brazil,Embraer SA,DRIVE,BRL,4552566,Lisa Anderson,Urgent
SO-2025-HK-00005,2025-10-08,2025-10-08 05:48:00,2025-10-08 16:16:00,10.5,Resolved,Missing Price List,Price list version expired,Escalated to product management,Gaming,APAC,Taiwan,ASUS Taiwan HQ,GeForce RTX,TWD,56762,Raj Patel,Standard
SO-2026-HK-00006,2026-01-12,2026-01-12 03:22:00,2026-01-13 12:34:00,33.2,Resolved,Discount Approval Pending,Approver out of office,Approved by regional manager,Automotive,APAC,Singapore,Supermicro Singapore,DRIVE,SGD,2644023,Yuki Tanaka,Standard
SO-2026-EU-00007,2026-01-21,2026-01-21 02:22:00,2026-01-21 15:34:00,13.2,Resolved,Discount Approval Pending,Non-standard deal structure,Approved by regional manager,Data Center,EMEA,Germany,BMW Group Germany,Tesla/A100,EUR,1067644,Sarah Kim,Standard
SO-2026-EU-00008,2026-01-16,2026-01-16 04:32:00,2026-01-16 15:47:00,11.2,Resolved,Missing Price List,New product not in system,Manual price entry,OEM,EMEA,UK,BAE Systems UK,Quadro,GBP,409349,Lisa Anderson,Standard
SO-2025-US-00009,2025-12-01,2025-12-01 03:01:00,2025-12-02 11:44:00,32.7,Resolved,Discount Approval Pending,Approver out of office,Rejected - repriced,Gaming,Americas,US West,Stanford University,GeForce RTX,USD,20308,Robert Johnson,Critical
SO-2025-HK-00010,2025-11-28,2025-11-28 00:44:00,2025-11-28 06:40:00,5.9,Resolved,Currency/FX Mismatch,FX rate expired,FX rate updated,Data Center,APAC,Korea,Samsung Electronics Korea,DGX,KRW,1295250,Emily Zhang,Standard
